# Type	NodeId	X	Y	Z
# Time: 0
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 913
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 914
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 915
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 916
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 917
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 918
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 919
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 920
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 921
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 922
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 923
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 924
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 925
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
ED	24	-936.612	-839.614	1.2
ED	25	-144.578	-1183.25	1.2
ED	26	1.20087	-1617.44	1.2
ED	27	-177.107	-1524.8	1.2
ED	28	-36.9986	1690.76	1.2
ED	29	-1690.56	842.075	1.2
ED	30	52.6851	351.468	1.2
ED	31	-1149.14	-91.8532	1.2
ED	32	-747.228	-348.882	1.2
ED	33	1838.66	-83.1332	1.2
ED	34	-1470.86	-9.12525	1.2
ED	35	-779.344	83.8429	1.2
ED	36	507.959	371.794	1.2
ED	37	-334.744	1079.26	1.2
ED	38	1576.24	30.6834	1.2
ED	39	-817.977	594.139	1.2
ED	40	-289.537	417.279	1.2
ED	41	-1025.93	448.74	1.2
ED	42	916.374	-1288.78	1.2
ED	43	995.907	1324.62	1.2
ED	44	882.889	-881.665	1.2
ED	45	-194.289	-1817.7	1.2
ED	46	622.5	168.959	1.2
ED	47	-758.939	-245.689	1.2
ED	48	527.735	-916.245	1.2
ED	49	1900.01	69.9914	1.2
GW	50	0	0	15
GW	51	1200	0	15
GW	52	-600	1039.2	15
# Time: 926
ED	0	642.937	882.723	1.2
ED	1	-332.44	-826.236	1.2
ED	2	44.3461	1611.42	1.2
ED	3	588.191	-680.087	1.2
ED	4	412.349	-172.961	1.2
ED	5	596.839	-778.26	1.2
ED	6	495.694	-686.034	1.2
ED	7	-753.42	-1311.39	1.2
ED	8	653.995	1138.82	1.2
ED	9	439.388	-1734.37	1.2
ED	10	-1290.31	-1179.4	1.2
ED	11	-429.297	-1284.18	1.2
ED	12	827.707	755.364	1.2
ED	13	659.043	-671.066	1.2
ED	14	1124.51	-1047.63	1.2
ED	15	109.197	91.7032	1.2
ED	16	1463.87	-52.0467	1.2
ED	17	1211.66	800.508	1.2
ED	18	1214.91	1291.19	1.2
ED	19	-193.55	-1939.51	1.2
ED	20	-1357.37	308.267	1.2
ED	21	-720.725	444.908	1.2
ED	22	-745.65	-1290.29	1.2
ED	23	-135.248	1114.37	1.2
